trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171401582,4,9/21/2021 14:21,9/21/2021 14:25,12243,One Way,30,Monthly Pass,standard,3016,3014,34.052898,-118.241562,34.05661,-118.237213,0.008061
171401586,14,9/21/2021 14:12,9/21/2021 14:26,18954,One Way,30,Monthly Pass,electric,3076,3069,34.0406,-118.253838,34.05088,-118.248253,0.015865
171401591,20,9/21/2021 14:08,9/21/2021 14:28,16992,One Way,30,Monthly Pass,electric,3007,3045,34.05048,-118.254593,34.028511,-118.256668,0.024044
171401597,32,9/21/2021 13:57,9/21/2021 14:28,17321,Round Trip,30,Monthly Pass,electric,4558,4558,34.025688,-118.395302,34.025688,-118.395302,0
171401666,118,9/21/2021 12:30,9/21/2021 14:28,20182,One Way,1,Walk-up,standard,4210,4216,33.984341,-118.47155,34.023392,-118.479637,0.047138
171401682,2,9/21/2021 14:29,9/21/2021 14:31,20014,Round Trip,1,Walk-up,standard,4212,4212,33.988129,-118.471741,33.988129,-118.471741,0
171401702,51,9/21/2021 13:42,9/21/2021 14:33,13718,One Way,30,Monthly Pass,standard,4211,4214,33.984928,-118.469963,33.99556,-118.481552,0.022221
171401782,1,9/21/2021 14:35,9/21/2021 14:36,16055,Round Trip,30,Monthly Pass,standard/smart,4568,4568,34.029121,-118.403168,34.029121,-118.403168,0
171401783,6,9/21/2021 14:32,9/21/2021 14:38,5840,One Way,365,Annual Pass,standard,3032,3034,34.049889,-118.255882,34.042061,-118.263382,0.015328
171401785,13,9/21/2021 14:24,9/21/2021 14:37,17463,One Way,30,Monthly Pass,electric,4544,4545,33.928459,-118.435204,33.95879,-118.44828,0.043407
171401882,7,9/21/2021 14:36,9/21/2021 14:43,20178,One Way,30,Monthly Pass,standard,4568,4563,34.029121,-118.403168,34.017681,-118.409081,0.017353
171401885,12,9/21/2021 14:30,9/21/2021 14:42,12361,One Way,1,Walk-up,standard,4562,4564,34.02697,-118.428207,34.035351,-118.434143,0.014317
171401921,75,9/21/2021 13:26,9/21/2021 14:41,13903,One Way,1,One Day Pass,standard,4210,4214,33.984341,-118.47155,33.99556,-118.481552,0.021221
171401923,78,9/21/2021 13:23,9/21/2021 14:41,6553,One Way,1,One Day Pass,standard,4210,4214,33.984341,-118.47155,33.99556,-118.481552,0.021221
